name,category,lat,lng,avg_duration_min,budget,opening_hours
Bağdat Caddesi,shopping,40.958840,29.083769,120,high,10:00-22:00
Kanlıca,neighborhood,41.099008,29.073629,90,medium,00:00-23:59
Kuzguncuk,neighborhood,41.036122,29.037264,90,medium,00:00-23:59
Gözdağı Korusu,nature,40.890641,29.253609,90,low,00:00-23:59
Çubuklu Korusu,nature,41.101984,29.083810,90,low,00:00-23:59
Otağtepe Parkı,nature,41.090137,29.071269,60,low,00:00-23:59
Haydarpaşa Garı,historical,40.996825,29.019294,45,low,09:00-18:00
Çinili Camii,historical,41.019924,29.029190,30,low,09:00-18:00
Çemberlitaş Hamamı,historical,41.008533,28.971600,90,high,09:00-18:00
Cağaloğlu Hamamı,historical,41.010594,28.975337,90,high,09:00-18:00
Kılıç Ali Paşa Hamamı,historical,41.026191,28.980632,90,high,09:00-18:00
Yedikule Zindanları,historical,40.993485,28.922740,60,medium,09:00-18:00
Panorama 1453 Tarih Müzesi,entertainment,41.018277,28.920391,75,medium,10:00-20:00
Anadolu Hisarı,historical,41.085932,29.070720,45,low,09:00-18:00
Tarihi Çınaraltı Çay Bahçesi,food,41.050281,29.052401,60,low,08:00-23:00
Deniz Müzesi,entertainment,41.041464,29.005435,75,medium,10:00-20:00
Masumiyet Müzesi,entertainment,41.030849,28.979854,60,medium,10:00-20:00
Florya Atatürk Deniz Köşkü,historical,40.973797,28.783353,60,medium,09:00-18:00
Çamlıca Kulesi,entertainment,41.016699,29.065992,60,medium,10:00-20:00
Ağva,scenic,41.138653,29.856061,180,medium,00:00-23:59
Şile,scenic,41.102730,29.653418,180,medium,00:00-23:59
Dragos Tepesi,scenic,40.901348,29.146660,60,low,00:00-23:59
Selimiye Kışlası,historical,41.008215,29.015883,30,low,09:00-18:00
Göztepe 60. Yıl Parkı,nature,40.969968,29.057860,90,low,00:00-23:59
İsfanbul,entertainment,41.074267,28.924014,180,high,10:00-20:00
Mihrimah Sultan Cami,historical,41.026779,29.015982,30,low,09:00-18:00
Galatasaray Hamamı,historical,41.032831,28.979890,90,high,09:00-18:00
İstanbul Arkeoloji Müzeleri,entertainment,41.011686,28.981331,90,medium,10:00-20:00
İstanbul Modern Sanat Müzesi,entertainment,41.025920,28.982838,90,medium,10:00-20:00
Boğaz Turu,entertainment,41.079257,29.046922,120,medium,10:00-20:00
Beşiktaş İskelesi,neighborhood,41.041212,29.007308,30,low,00:00-23:59
Fişekhane,entertainment,40.983048,28.905100,120,medium,10:00-20:00
Kanlıca İskelesi,neighborhood,41.100224,29.065385,30,low,00:00-23:59
Arasta Çarşısı,shopping,41.005329,28.978202,45,medium,10:00-22:00
Galataport,shopping,41.027352,28.985484,120,high,10:00-22:00
Çemberlitaş,historical,41.009180,28.970169,20,low,00:00-23:59
Kumkapı,food,41.004260,28.964697,90,medium,08:00-23:00
Kanlıca Yoğurtçu Parkı,nature,41.099008,29.073629,60,low,00:00-23:59
Asmalımescit,food,41.030909,28.975060,120,medium,08:00-23:00
Vefa Bozacısı,food,41.015318,28.958420,30,low,08:00-23:00
Yıldız Parkı,nature,41.049143,29.015263,90,low,00:00-23:59
Ayasofya Hürrem Sultan Hamamı,historical,41.007258,28.979137,90,high,09:00-18:00
Arnavutköy,neighborhood,41.186394,28.738889,90,medium,00:00-23:59
Yeşilköy Rum Ortodoks Kilisesi,historical,40.977648,28.818895,30,low,09:00-18:00
Turkcell Platinum Park,nature,41.115306,28.993554,60,low,00:00-23:59
